date,client_type,product,unitprice,quantity,total,payment
7/6/2025,Wholesale,Bristol Bobber 650,398000,13,5174000,Credit card
7/15/2025,Retail,Suzuki GSX-S150,375000,24,3000000,Cash
6/20/2025,Wholesale,Royal Enfield Classic 350,250000,7,1750000,Transfer
8/4/2025,Retail,BMW G 310 GS,320000,42,13440000,Credit card
6/8/2025,Retail,CFMoto 300SR,165000,15,2475000,Cash
6/16/2025,Wholesale,Bajaj CT125,67900,10,679000,Cash
6/14/2025,Retail,Bristol Bobber 650,398000,12,4776000,Credit card
8/15/2025,Retail,SYM Jet X 150,128000,23,2944000,Transfer
8/26/2025,Wholesale,Yamaha XSR155,182000,2,364000,Transfer
6/15/2025,Retail,Yamaha FZi 150,99900,16,1598400,Transfer
8/31/2025,Retail,CFMoto 300NK,165000,38,6270000,Credit card
8/5/2025,Wholesale,Bajaj Dominar 400,199900,7,1399300,Credit card
7/2/2025,Retail,Yamaha Aerox 155,124000,31,3844000,Transfer
8/26/2025,Retail,Moto Guzzi V7 Stone,689000,15,10335000,Transfer
8/2/2025,Retail,Husqvarna Svartpilen 401,295000,4,1180000,Transfer
8/25/2025,Wholesale,Yamaha XSR155,182000,19,3458000,
7/21/2025,Wholesale,TVS Apache RTR 200 4V,129000,47,6063000,Credit card
6/25/2025,Retail,Vespa Primavera 150,210000,1,210000,Cash
7/28/2025,Retail,Zontes 310X,248000,3,744000,Cash
8/2/2025,Retail,Yamaha Sniper 155,125900,16,2014400,Credit card
8/1/2025,Wholesale,Zontes GK350,269000,9,2421000,Cash
6/22/2025,Retail,Yamaha MT-15,178000,41,7298000,Cash
7/28/2025,Wholesale,Husqvarna Svartpilen 401,295000,17,5015000,Credit card
7/28/2025,Wholesale,Bristol Veloce 500,328000,43,14104000,Transfer
8/25/2025,Retail,Zontes 310X,248000,44,10912000,Cash
7/19/2025,Wholesale,Keeway RKS 150 Sport,68900,1,68900,Credit card
7/22/2025,Wholesale,Honda Rebel 1100,650000,3,1950000,Credit card
7/12/2025,Retail,CFMoto 300SR,165000,20,3300000,Transfer
8/9/2025,Retail,Bajaj CT125,67900,33,2240700,Credit card
6/15/2025,Wholesale,Bajaj Dominar 400,199900,41,8195900,Transfer
7/24/2025,Wholesale,Suzuki Burgman Street 125,80900,11,889900,Transfer
7/30/2025,Retail,KTM 790 Duke,599000,20,11980000,Transfer
6/8/2025,Wholesale,Kawasaki Z400,331000,11,3641000,Credit card
7/23/2025,Wholesale,Bristol Veloce 500,328000,11,3608000,Cash
7/30/2025,Retail,Yamaha FZi 150,99900,32,3196800,Cash
6/5/2025,Retail,Honda Rebel 1100,650000,20,13000000,Cash
8/7/2025,Retail,KTM 790 Duke,599000,1,599000,Transfer
6/6/2025,Wholesale,Royal Enfield Classic 350,250000,33,8250000,Transfer
7/17/2025,Retail,Harley-Davidson Street 750,499000,12,5988000,Credit card
2025-08-00,Wholesale,Honda Rebel 1100,650000,6,3900000,Transfer
7/10/2025,Retail,Yamaha XSR155,182000,12,2184000,Credit card
7/22/2025,Retail,CFMoto 650MT,345000,41,14145000,Transfer
6/16/2025,Retail,Bajaj CT125,67900,13,882700,Credit card
6/13/2025,Wholesale,Bajaj CT125,67900,30,2037000,Credit card
6/30/2025,Retail,SYM Husky 150,72900,9,656100,Credit card
6/19/2025,Retail,Honda Click 125i,80900,1,80900,Cash
6/17/2025,Retail,Husqvarna Svartpilen 401,295000,20,5900000,Credit card
8/2/2025,Retail,Suzuki Raider R150 Fi,119900,16,1918400,Credit card
6/19/2025,Wholesale,Zontes 310X,248000,48,11904000,Credit card
8/31/2025,Retail,Husqvarna Svartpilen 401,295000,4,1180000,Credit card
7/28/2025,Wholesale,Honda CBR500R,389000,9,3501000,Credit card
7/25/2025,Wholesale,Zontes 310X,248000,25,6200000,Transfer
8/29/2025,Wholesale,Vespa GTS Super 300,398000,12,4776000,Credit card
8/29/2025,Retail,Honda Rebel 1100,650000,4,2600000,Transfer
8/1/2025,Retail,KTM RC 200,198000,2,396000,Transfer
6/23/2025,Retail,KTM 790 Dukx,599000,3,1797000,Cash
6/9/2025,Retail,SYM Jet X 150,128000,3,384000,Credit card
6/12/2025,Retail,BMW G 310 GS,320000,35,11200000,Cash
6/1/2025,Retail,Yamaha XMAX 300,319000,26,8294000,Transfer
7/28/2025,Retail,Vespa GTS Super 300,398000,24,9552000,Credit card
6/1/2025,Retail,Suzuki GSX-S150,125000,13,1625000,Cash
7/4/2025,Retail,Suzuki Raider R150 Fi,119900,11,1318900,Cash
7/18/2025,Retail,Vespa GTS Super 300,398000,19,7562000,Credit card
8/28/2025,Retail,Rusi Flash 125,48000,32,1536000,Credit card
6/1/2025,Retail,Yamaha Aerox 155,124000,38,4712000,Cash
6/16/2025,Retail,Rusi Flash 125,48000,14,672000,Cash
7/31/2025,Wholesale,Honda ADV 160,164900,2,329800,Credit card
8/3/2025,Wholesale,Kawasaki Ninja 400,340000,28,9520000,Cash
8/2/2025,Retail,Yamaha Sniper 155,125900,20,2518000,Credit card
8/8/2025,Retail,Italjet Dragster 200,289000,2,578000,Cash
6/22/2025,Retail,KTM 790 Duke,599000,49,29351000,Credit card
8/6/2025,Retail,Aprilia SR GT 200,219000,6,1314000,Transfer
8/15/2025,Retail,Honda CBR500R,389000,45,17505000,Credit card
6/26/2025,Wholesale,Yamaha FZi 150,99900,16,1598400,Cash
6/16/2025,Retail,CFMoto 300SR,165000,13,2145000,Credit card
7/21/2025,Retail,Suzuki Avenis 125,79900,38,3036200,Cash
8/25/2025,Wholesale,Yamaha NMAX 155,151900,14,2126600,Credit card
7/27/2025,Wholesale,Kawasaki KLX 230,199000,8,1592000,Credit card
6/29/2025,Wholesale,Yamaha Aerox 155,124000,33,4092000,Credit card
8/17/2025,Wholesale,Vespa Primavera 150,210000,16,3360000,Credit card
8/31/2025,Retail,Yamaha Aerox 155,124000,3,372000,Transfer
8/8/2025,Retail,CFMoto 300SR,165000,10,1650000,Credit card
7/17/2025,Retail,Moto Guzzi V7 Stone,689000,7,4823000,Cash
8/1/2025,Retail,CFMoto 300NK,165000,30,4950000,Credit card
8/8/2025,Wholesale,SYM Jet X 150,128000,16,2048000,
8/15/2025,Wholesale,Moto Guzzi V7 Stone,689000,28,19292000,Cash
6/16/2025,Wholesale,Royal Enfield Classic 350,250000,5,1250000,Transfer
8/29/2025,Retail,Rusi Flash 125,48000,16,768000,Credit card
8/29/2025,Wholesale,Honda CRF300L,284900,20,5698000,Transfer
7/18/2025,Retail,Suzuki GSX-S150,125000,5,625000,Transfer
8/24/2025,Retail,CFMoto 300NK,165000,15,2475000,Transfer
7/9/2025,Wholesale,Bajaj Dominar 400,199900,1,199900,Credit card
7/3/2025,Retail,Keeway RKS 150 Sport,68900,16,1102400,Credit card
6/23/2025,Retail,Zontes GK350,269000,50,13450000,Credit card
6/10/2025,Wholesale,BMW G 310 GS,320000,20,6400000,Transfer
8/8/2025,Retail,Zontes GK350,269000,11,2959000,Cash
7/4/2025,Wholesale,Honda Click 125i,80900,18,1456200,Transfer
7/22/2025,Wholesale,KTM RC 200,198000,1,198000,Cash
6/10/2025,Retail,Moto Guzzi V7 Stone,689000,16,11024000,Credit card
6/19/2025,Wholesale,Suzuki GSX-S150,125000,3,375000,Transfer
7/28/2025,Wholesale,BMW G 310 GS,320000,9,2880000,Transfer
6/1/2025,Retail,Bajaj CT125,67900,6,407400,Credit card
8/8/2025,Wholesale,Royal Enfield Classic 350,250000,4,1000000,Cash
6/4/2025,Wholesale,Honda Click 125i,80900,14,1132600,Transfer
6/16/2025,Retail,Zontes 310X,248000,50,12400000,Cash
6/24/2025,Retail,Honda ADV 160,164900,13,2143700,Cash
8/19/2025,Wholesale,Zontes 310X,248000,11,2728000,Cash
6/2/2025,Wholesale,Yamaha FZi 150,99900,5,499500,Cash
8/31/2025,Retail,Bristol Veloce 500,328000,12,3936000,Credit card
7/2/2025,Retail,KTM 790 Duke,599000,10,5990000,
8/30/2025,Retail,KTM RC 200,198000,26,5148000,Transfer
8/23/2025,Wholesale,Vespa Primavera 150,210000,1,210000,Cash
6/24/2025,Retail,Suzuki GSX-S150,125000,7,875000,Credit card
6/12/2025,Wholesale,Honda CBR500R,389000,14,5446000,Transfer
7/20/2025,Wholesale,Keeway RKS 150 Sport,68900,7,482300,Cash
7/5/2025,Wholesale,BMW R nineT,995000,25,24875000,Transfer
7/3/2025,Retail,Suzuki Avenis 125,79900,42,3355800,Credit card
7/3/2025,Retail,Moto Guzzi V7 Stone,689000,1,689000,Cash
7/31/2025,Wholesale,Bristol Bobber 650,398000,42,16716000,Transfer
7/21/2025,Wholesale,Aprilia SR GT 200,219000,1,219000,Cash
7/13/2025,Retail,CFMoto 300SR,165000,18,2970000,Cash
6/12/2025,Wholesale,Yamaha XSR155,182000,11,2002000,Cash
8/6/2025,Retail,Suzuki Avenis 125,79900,1,79900,Transfer
8/4/2025,Retail,Zontes GK350,269000,19,5111000,Transfer
7/3/2025,Wholesale,Zontes 310X,248000,40,9920000,Transfer
7/10/2025,Retail,Zontes GK350,269000,13,3497000,Transfer
8/13/2025,Wholesale,Bajaj CT125,67900,43,2919700,Transfer
7/13/2025,Wholesale,Keeway RKS 150 Sport,68900,14,964600,Cash
7/14/2025,Retail,Yamaha MT-15,178000,11,1958000,Credit card
6/29/2025,Wholesale,Bajaj CT125,67900,11,746900,Transfer
6/13/2025,Wholesale,Yamaha FZi 150,99900,30,2997000,Credit card
6/12/2025,Wholesale,Yamaha XMAX 300,319000,17,5423000,Transfer
7/16/2025,Wholesale,Honda Rebel 1100,650000,8,5200000,Credit card
6/2/2025,Retail,Yamaha NMAX 155,151900,29,4405100,Cash
7/5/2025,Retail,Kawasaki KLX 230,199000,7,1393000,Transfer
8/26/2025,Retail,Aprilia SR GT 200,219000,40,8760000,Transfer
8/20/2025,Wholesale,Yamaha Serow 250,299000,19,5681000,Cash
8/29/2025,Retail,SYM Husky 150,72900,4,291600,Transfer
6/8/2025,Retail,Honda Rebel 1100,650000,21,13650000,Cash
6/26/2025,Wholesale,Moto Morini X-Cape 650,369000,16,5904000,Transfer
8/13/2025,Retail,KTM RC 200,198000,19,3762000,Cash
8/29/2025,,Yamaha Sniper 15x,125900,17,2140300,Credit card
7/4/2025,Retail,Yamaha Serow 250,299000,3,897000,Transfer
6/7/2025,Retail,Vespa GTS Super 300,398000,20,7960000,Credit card
8/7/2025,Retail,Keeway RKS 150 Sport,68900,9,620100,Transfer
7/28/2025,Wholesale,Yamaha Sniper 155,125900,16,2014400,Transfer
8/14/2025,Retail,Yamaha XSR155,182000,5,910000,Transfer
6/29/2025,Retail,BMW G 310 GS,320000,4,1280000,Cash
7/6/2025,Retail,Suzuki Avenis 125,79900,34,2716600,Transfer
8/28/2025,Retail,Honda Rebel 1100,650000,11,7150000,Transfer
6/21/2025,Wholesale,Honda CBR500R,389000,13,5057000,Transfer
7/6/2025,Retail,Yamaha XMAX 300,319000,18,5742000,Cash
6/10/2025,Retail,SYM Husky 150,72900,7,510300,Cash
8/12/2025,Retail,Suzuki Burgman Street 125,80900,46,3721400,Credit card
6/24/2025,Retail,Harley-Davidson Street 750,499000,49,24451000,Credit card
8/3/2025,Retail,Bajaj CT125,67900,47,3191300,Credit card
7/19/2025,Wholesale,Yamaha FZi 150,99900,17,1698300,Credit card
7/6/2025,Wholesale,Moto Guzzi V7 Stone,689000,16,11024000,Transfer
8/21/2025,Wholesale,KTM Duke 200,178000,18,3204000,Cash
6/24/2025,Wholesale,Keeway RKS 150 Sport,68900,17,1171300,Credit card
6/23/2025,Retail,Zontes 310X,248000,15,3720000,Transfer
8/1/2025,Wholesale,Zontes GK350,807000,15,4035000,Credit card
7/7/2025,Wholesale,Suzuki Raider R150 Fi,119900,17,2038300,Credit card
6/12/2025,Wholesale,CFMoto 300NK,165000,30,4950000,Transfer
7/25/2025,Retail,Motorstar Xplorer 250R,78900,4,315600,Transfer
6/13/2025,Retail,CFMoto 300SR,165000,42,6930000,Credit card
6/23/2025,Wholesale,Yamaha Sniper 155,125900,6,755400,Transfer
8/28/2025,Retail,Suzuki Raider R150 Fi,119900,27,3237300,Credit card
6/30/2025,Retail,Motorstar Xplorer 250R,78900,20,1578000,Credit card
6/17/2025,Wholesale,Yamaha MT-15,178000,39,6942000,Transfer
8/1/2025,Retail,Moto Guzzi V7 Stone,689000,45,31005000,Credit card
8/23/2025,Wholesale,SYM Jet X 150,128000,31,3968000,Credit card
8/28/2025,Retail,Motorstar Xplorer 250R,78900,48,3787200,Transfer
8/25/2025,Retail,Kawasaki Ninja 400,340000,13,4420000,Credit card
6/13/2025,Wholesale,Moto Guzzi V7 Stone,689000,5,3445000,Credit card
7/29/2025,,Yamaha XSR155,182000,12,2184000,Cash
6/19/2025,Wholesale,Royal Enfield Classic 350,250000,6,1500000,Cash
7/19/2025,Retail,Rusi Flash 125,48000,10,480000,Transfer
6/12/2025,Retail,Honda CRF300L,284900,32,9116800,Cash
7/31/2025,Wholesale,KTM RC 200,198000,5,990000,Transfer
6/19/2025,Wholesale,Motorstar Xplorer 250R,78900,2,157800,Credit card
8/15/2025,Wholesale,Royal Enfield Classic 350,250000,17,4250000,Credit card
6/9/2025,Wholesale,Suzuki GSX-S150,125000,17,2125000,Credit card
8/10/2025,Wholesale,BMW G 310 GS,960000,49,15680000,Cash
6/28/2025,Retail,BMW G 310 GS,320000,3,960000,Transfer
8/17/2025,Wholesale,Yamaha NMAX 155,151900,21,3189900,Transfer
7/22/2025,Retail,Kawasaki KLX 230,199000,2,398000,Credit card
8/22/2025,Wholesale,Bristol Bobber 65x,398000,27,10746000,Transfer
6/16/2025,Retail,Yamaha FZi 150,99900,12,1198800,Cash
8/8/2025,Retail,Honda ADV 160,164900,28,4617200,Transfer
6/12/2025,Wholesale,Yamaha XSR155,182000,20,3640000,Credit card
6/25/2025,Wholesale,KTM 790 Duke,599000,5,2995000,Cash
7/22/2025,Retail,Vespa GTS Super 300,398000,18,7164000,Cash
8/24/2025,Retail,Zontes GK350,269000,19,5111000,Credit card
7/23/2025,Wholesale,Suzuki Raider R150 Fi,119900,8,959200,Cash
6/23/2025,Retail,Yamaha MT-15,178000,16,2848000,Transfer
6/16/2025,Wholesale,Yamaha MT-1x,178000,36,6408000,Transfer
7/27/2025,Wholesale,Harley-Davidson Street 750,499000,22,10978000,Cash
7/9/2025,Wholesale,Yamaha NMAX 155,151900,9,1367100,Credit card
7/23/2025,Wholesale,Suzuki Raider R150 Fi,119900,30,3597000,Transfer
7/12/2025,Retail,SYM Husky 150,72900,2,145800,Cash
7/28/2025,Retail,Vespa GTS Super 300,398000,4,1592000,Transfer
7/9/2025,Wholesale,Yamaha FZi 150,99900,16,1598400,Transfer
6/14/2025,Wholesale,Italjet Dragster 200,289000,18,5202000,Cash
6/5/2025,Wholesale,Suzuki Raider R150 Fi,119900,20,2398000,Transfer
7/5/2025,Wholesale,CFMoto 650MT,345000,24,8280000,Transfer
8/26/2025,Retail,KTM RC 200,198000,44,8712000,Credit card
8/14/2025,Wholesale,Kawasaki Z400,331000,45,14895000,Cash
6/18/2025,Retail,Yamaha Sniper 155,125900,18,2266200,Cash
8/15/2025,Wholesale,Honda CBR500R,389000,41,15949000,Transfer
6/9/2025,Wholesale,BMW R nineT,995000,25,24875000,Credit card
8/13/2025,Wholesale,Honda Rebel 1100,650000,4,2600000,Credit card
7/28/2025,Wholesale,Kawasaki KLX 230,199000,17,3383000,Cash
6/17/2025,Wholesale,Suzuki Avenis 125,79900,14,1118600,Credit card
6/7/2025,Wholesale,Vespa GTS Super 300,398000,20,7960000,Cash
7/16/2025,Retail,Honda Click 125i,80900,12,970800,Credit card
6/13/2025,Wholesale,TVS Apache RTR 200 4V,129000,16,2064000,Transfer
7/10/2025,Wholesale,Zontes 310X,248000,49,12152000,Transfer
7/12/2025,Wholesale,Vespa GTS Super 300,398000,5,1990000,Cash
6/9/2025,Retail,Suzuki GSX-S150,125000,8,1000000,Cash
7/20/2025,Wholesale,Suzuki Raider R150 Fi,119900,37,4436300,Transfer
6/27/2025,Retail,Honda Rebel 1100,650000,8,5200000,Transfer
8/5/2025,Retail,Yamaha MT-15,534000,12,2136000,Cash
6/5/2025,Wholesale,Honda Click 125i,80900,14,1132600,
6/29/2025,Wholesale,Bristol Veloce 500,328000,12,3936000,Cash
7/7/2025,Wholesale,Moto Morini X-Cape 650,369000,49,18081000,Transfer
7/8/2025,Wholesale,Bajaj CT125,67900,4,271600,Transfer
8/22/2025,Wholesale,CFMoto 300NK,165000,47,7755000,Credit card
6/8/2025,Wholesale,CFMoto 300SR,165000,1,165000,Credit card
8/4/2025,Wholesale,Benelli 502C,349000,5,1745000,Transfer
8/25/2025,Wholesale,Suzuki GSX-S150,125000,19,2375000,Transfer
6/17/2025,Retail,Kawasaki Z400,331000,46,15226000,Credit card
8/10/2025,Retail,Royal Enfield Classic 350,250000,44,11000000,Cash
8/28/2025,Wholesale,Harley-Davidson Street 750,499000,13,6487000,Transfer
7/15/2025,Retail,Bristol Bobber 650,398000,37,14726000,Cash
6/4/2025,Retail,SYM Jet X 150,128000,7,896000,Cash
7/6/2025,Retail,CFMoto 300NK,165000,18,2970000,Credit card
8/9/2025,Retail,Keeway RKS 150 Sport,68900,6,413400,Cash
7/1/2025,Retail,Moto Guzzi V7 Stone,689000,10,6890000,Transfer
6/19/2025,Retail,Royal Enfield Classic 350,250000,38,9500000,Credit card
7/31/2025,Retail,Bristol Bobber 650,398000,44,17512000,Credit card
7/24/2025,Wholesale,Royal Enfield Classic 350,250000,6,1500000,Transfer
7/9/2025,Wholesale,Bristol Bobber 650,398000,11,4378000,Cash
8/30/2025,Retail,BMW R nineT,995000,10,9950000,Credit card
8/13/2025,Wholesale,Zontes GK350,269000,13,3497000,Cash
8/29/2025,Retail,Honda ADV 160,164900,19,3133100,Transfer
6/19/2025,Wholesale,Suzuki GSX-S150,125000,3,375000,Cash
7/9/2025,Retail,Yamaha FZi 150,99900,20,1998000,Cash
8/6/2025,Wholesale,Suzuki Avenis 125,79900,41,3275900,Credit card
7/15/2025,Wholesale,Yamaha FZi 150,99900,6,599400,Credit card
6/13/2025,Retail,Vespa GTS Super 300,398000,41,16318000,Transfer
8/31/2025,Retail,Yamaha Serow 250,299000,20,5980000,Cash
7/28/2025,Retail,Royal Enfield Classic 350,250000,17,4250000,Transfer
6/20/2025,Retail,Bristol Bobber 650,398000,1,398000,Transfer
8/31/2025,Wholesale,Bajaj Dominar 400,199900,13,2598700,Credit card
8/11/2025,Retail,CFMoto 300NK,165000,2,330000,Cash
7/31/2025,Wholesale,Honda ADV 160,164900,3,494700,Transfer
7/9/2025,Wholesale,Royal Enfield Classic 350,250000,15,3750000,Transfer
6/1/2025,Retail,Keeway RKS 150 Sport,68900,20,1378000,Transfer
6/3/2025,Retail,Royal Enfield Classic 350,250000,22,5500000,Credit card
8/16/2025,,Honda ADV 160,494700,9,1484100,Transfer
8/31/2025,Wholesale,Bajaj CT125,67900,13,882700,Credit card
8/1/2025,Retail,Yamaha XSR155,182000,4,728000,Cash
8/2/2025,Retail,BMW G 310 GS,320000,2,640000,Transfer
6/25/2025,Wholesale,Honda CBR500R,1167000,47,18283000,Cash
7/26/2025,Wholesale,Moto Guzzi V7 Stone,2067000,14,9646000,Transfer
7/3/2025,Retail,Honda Click 125i,80900,15,1213500,Cash
7/8/2025,Retail,KTM 790 Duke,599000,5,2995000,Transfer
6/6/2025,Retail,Suzuki Raider R150 Fi,119900,7,839300,Credit card
7/28/2025,Wholesale,Bajaj CT125,67900,30,2037000,Credit card
7/14/2025,Wholesale,Yamaha Aerox 155,124000,11,1364000,Cash
7/15/2025,Retail,Royal Enfield Classic 350,250000,23,5750000,Credit card
7/2/2025,Wholesale,Kawasaki Z400,331000,39,12909000,Cash
7/15/2025,Retail,Yamaha XSR155,182000,20,3640000,Credit card
7/31/2025,Retail,Aprilia SR GT 200,219000,25,5475000,Credit card
7/17/2025,Wholesale,Husqvarna Svartpilen 401,295000,4,1180000,Credit card
6/21/2025,Wholesale,Italjet Dragster 200,289000,10,2890000,Credit card
8/19/2025,,Moto Guzzi V7 Stone,689000,14,9646000,Credit card
8/24/2025,Wholesale,Royal Enfield Classic 350,250000,35,8750000,Cash
8/14/2025,Wholesale,Moto Morini X-Cape 650,369000,3,1107000,Transfer
7/6/2025,Retail,Benelli 502C,349000,42,14658000,Cash
6/19/2025,Wholesale,CFMoto 300NK,165000,23,3795000,Credit card
08-40-2025,Wholesale,Yamaha Sniper 155,125900,18,2266200,Credit card
7/27/2025,Retail,Kawasaki KLX 230,199000,1,199000,Cash
6/18/2025,Wholesale,Benelli 502x,1047000,1,349000,Transfer
7/17/2025,Retail,Husqvarna Svartpilen 401,295000,6,1770000,Credit card
7/19/2025,Wholesale,Italjet Dragster 200,289000,5,1445000,Cash
6/14/2025,Retail,Aprilia SR GT 200,219000,22,4818000,Cash
6/15/2025,Wholesale,Bajaj Dominar 400,199900,41,8195900,Cash
7/1/2025,Retail,Honda CBR500R,389000,19,7391000,Credit card
6/1/2025,Retail,Aprilia SR GT 200,219000,10,2190000,Cash
7/24/2025,Retail,Italjet Dragster 200,289000,20,5780000,Credit card
6/3/2025,Wholesale,Italjet Dragster 200,289000,49,14161000,Transfer
6/16/2025,Retail,SYM Husky 150,72900,19,1385100,Credit card
8/26/2025,Retail,Zontes 310X,248000,43,10664000,Transfer
7/27/2025,Retail,Husqvarna Svartpilen 401,295000,34,10030000,Credit card
8/14/2025,Wholesale,Suzuki Burgman Street 125,80900,17,1375300,Credit card
6/12/2025,Wholesale,Honda CBR500R,389000,3,1167000,Credit card
8/13/2025,Retail,Benelli 502C,349000,9,3141000,Cash
6/16/2025,Wholesale,KTM RC 200,198000,37,7326000,Credit card
8/11/2025,Wholesale,Bristol Bobber 650,398000,26,10348000,Cash
8/15/2025,Retail,Honda CBR500R,389000,8,3112000,Cash
6/24/2025,Retail,Honda CRF300L,284900,12,3418800,Transfer
6/28/2025,Wholesale,Bristol Veloce 500,328000,1,328000,Transfer
6/8/2025,Retail,Benelli 502C,349000,19,6631000,Transfer
8/31/2025,Retail,Yamaha XSR155,182000,19,3458000,Transfer
7/6/2025,Wholesale,CFMoto 650MT,345000,13,4485000,Transfer
8/29/2025,Wholesale,KTM RC 200,198000,2,396000,Credit card
6/8/2025,Wholesale,Honda Rebel 1100,650000,5,3250000,Credit card
7/28/2025,Retail,SYM Husky 150,72900,2,145800,Credit card
7/30/2025,Wholesale,Kawasaki Z400,331000,49,16219000,Cash
7/20/2025,Retail,Yamaha Aerox 155,124000,28,3472000,Cash
6/28/2025,Wholesale,Yamaha Serow 250,299000,26,7774000,Transfer
8/31/2025,Wholesale,Honda ADV 160,164900,35,5771500,Transfer
7/11/2025,Wholesale,Harley-Davidson Street 750,499000,30,14970000,Cash
8/3/2025,Wholesale,Honda CRF300L,284900,28,7977200,Transfer
6/27/2025,Wholesale,Benelli 502C,349000,46,16054000,Credit card
8/2/2025,Retail,Yamaha Sniper 155,125900,6,755400,Credit card
6/17/2025,Retail,KTM RC 200,198000,15,2970000,Transfer
8/12/2025,Retail,Kawasaki Z400,331000,17,5627000,Cash
7/3/2025,Retail,Bajaj Dominar 400,199900,50,9995000,Cash
8/23/2025,Wholesale,CFMoto 300SR,165000,39,6435000,Cash
Aug-10-2025,Wholesale,Bajaj Dominar 400,199900,46,9195400,Cash
8/31/2025,Retail,Bajaj CT125,67900,22,1493800,Cash
6/29/2025,Wholesale,CFMoto 300SR,165000,37,6105000,Credit card
6/13/2025,Retail,Yamaha Aerox 155,124000,15,1860000,Credit card
7/16/2025,Wholesale,Suzuki Burgman Street 125,80900,16,1294400,Cash
7/5/2025,Retail,Suzuki Raider R150 Fi,119900,7,839300,Cash
6/6/2025,Wholesale,Suzuki Raider R150 Fi,119900,5,599500,Transfer
8/21/2025,Wholesale,BMW R nineT,995000,5,4975000,Cash
8/8/2025,Retail,Suzuki Raider R150 Fi,119900,1,119900,Cash
7/17/2025,Wholesale,Honda CRF300L,284900,11,3133900,Cash
6/25/2025,Wholesale,Bristol Bobber 650,398000,4,1592000,Transfer
8/5/2025,Retail,TVS Apache RTR 200 4V,129000,9,1161000,Cash
6/10/2025,Wholesale,Honda Click 125i,80900,2,161800,Cash
7/26/2025,Retail,CFMoto 300NK,165000,8,1320000,Credit card
6/30/2025,Retail,Keeway RKS 150 Sport,68900,15,1033500,Credit card
6/5/2025,Retail,Vespa GTS Super 300,398000,4,1592000,Transfer
7/3/2025,Wholesale,Bajaj CT125,67900,47,3191300,Transfer
8/4/2025,Retail,Suzuki GSX-S150,125000,31,3875000,Transfer
6/18/2025,Wholesale,Kawasaki Ninja 400,340000,5,1700000,Transfer
7/19/2025,Wholesale,Suzuki Avenis 125,79900,6,479400,Transfer
6/11/2025,Retail,Bristol Bobber 650,398000,7,2786000,Credit card
8/24/2025,Wholesale,Bristol Veloce 500,328000,8,2624000,Transfer
6/26/2025,Wholesale,Zontes 310X,248000,6,1488000,Credit card
8/2/2025,Wholesale,Suzuki Avenis 125,79900,1,79900,Cash
8/28/2025,Wholesale,Royal Enfield Classic 350,250000,6,1500000,Transfer
8/25/2025,Wholesale,Honda CRF300L,284900,23,6552700,Credit card
7/29/2025,Retail,Vespa Primavera 150,210000,10,2100000,Credit card
6/27/2025,Retail,SYM Husky 150,72900,8,583200,Credit card
7/19/2025,Retail,Yamaha MT-15,178000,29,5162000,Cash
8/16/2025,Wholesale,CFMoto 300SR,165000,16,2640000,Credit card
7/3/2025,Retail,Yamaha XMAX 300,319000,19,6061000,Cash
6/1/2025,Wholesale,Suzuki Raider R150 Fi,119900,3,359700,Credit card
6/21/2025,Retail,Benelli 502C,349000,19,6631000,Transfer
7/25/2025,Wholesale,TVS Apache RTR 200 4x,129000,33,4257000,Transfer
6/6/2025,Wholesale,Aprilia SR GT 200,219000,7,1533000,Cash
8/31/2025,Wholesale,Yamaha XSR155,182000,11,2002000,Credit card
07-25-25,Retail,Honda CBR500R,389000,16,6224000,Credit card
8/8/2025,Retail,KTM 790 Dukx,599000,45,26955000,Cash
6/5/2025,Retail,Bristol Bobber 650,398000,13,5174000,Transfer
6/3/2025,Retail,Suzuki Burgman Street 125,80900,33,2669700,Credit card
7/23/2025,Wholesale,Benelli 502C,349000,11,3839000,Cash
6/23/2025,Wholesale,Yamaha Serow 250,299000,11,3289000,Transfer
7/23/2025,Wholesale,Bristol Bobber 650,398000,19,7562000,Transfer
7/7/2025,Retail,Honda Rebel 1100,650000,41,26650000,Credit card
8/13/2025,Retail,Moto Guzzi V7 Stone,689000,4,2756000,Credit card
8/13/2025,Retail,Bristol Veloce 500,328000,31,10168000,Credit card
8/22/2025,Retail,Honda CBR500R,389000,16,6224000,Transfer
6/17/2025,Wholesale,SYM Husky 150,72900,32,2332800,Transfer
8/24/2025,Retail,Kawasaki Ninja 400,340000,6,2040000,Transfer
8/17/2025,Wholesale,Yamaha Sniper 155,125900,14,1762600,Cash
8/12/2025,Retail,Vespa GTS Super 300,398000,17,6766000,Credit card
6/1/2025,Wholesale,Keeway RKS 150 Sport,68900,21,1446900,Transfer
7/21/2025,Wholesale,Kawasaki KLX 230,199000,11,2189000,Credit card
7/15/2025,Wholesale,Vespa Primavera 150,210000,15,3150000,Transfer
8/16/2025,Retail,Yamaha XSR155,182000,14,2548000,Cash
6/4/2025,Retail,Bristol Veloce 500,328000,21,6888000,Transfer
8/1/2025,Retail,Yamaha MT-15,178000,13,2314000,Credit card
8/4/2025,Retail,BMW R nineT,995000,7,6965000,Cash
7/2/2025,Wholesale,Honda CBR500R,389000,3,1167000,Cash
7/4/2025,Retail,CFMoto 300SR,165000,12,1980000,Credit card
8/31/2025,Retail,Yamaha Serow 250,299000,10,2990000,Transfer
